Asana,Benefits
Dandasana,"1) dandasana is a starting pose for most of the other sitting postures. For example, if you want to perform paschimottanasana or the forward bend pose, you have to start with this asana.
2)it helps to strengthen the muscles of the back and corrects minor postural defects.
3) perfecting this asana gives you the strength and steadiness to do more advanced yogic poses.
4) the muscles of the chest and abdomen is stretched and strengthened.
5) maintaining the pose for longer durations can remove stiffness of the lower back muscles.
6) it can improve digestion.
7) it can remove fatigue in the leg muscles.
8) it increases the flexibility of the lower back and hips."
Purvottanasana,"1.improves the functioning of the thyroid gland: the thyroid gland at the neck, with the secretion of thyroid hormone, helps in metabolic rate of the body and also helps in the development of the human body.
2.improves the functioning of the adrenal gland: the adrenal gland which lie above the kidneys helps in the supply of blood and secretes a number of different hormones which are essential for a proper balance within the body.
3.improves the functioning of the thymus:the thymus located in front of the heart, helps in maintaining the immune system. It helps the body fight foreign invaders.
3.purvottanasana improves the strength at the wrists going upwards to the entire arm including the shoulders. The weight of the body if balanced well on the shoulders and the wrists will not only make the pose easy but will improve the muscle strength around the shoulders without causing injury.
reduces cramps at the calf, hamstrings and quadriceps: repeated practice of this pose will open the muscles at the quadriceps, hamstrings and calves thus reducing the cramps.
4.great pose for athletes: for most sports the arms and the legs are to be worked at, and upward plank pose gives both the benefit of improving the arm strength and the leg strength.
5.improves the alignment of the shoulders: if practiced well can help in reducing rounded shoulders and thus improving the alignment.
core strength is improved: with the practice of purvottanasana, pulling in the tummy consciously will improve the core strength.
6.works well in improving the balance: this pose is a great and easy way to learn to improve the balance of the body keeping in mind the alignment of the arms and the feet.
7 great pose to practice by women during menstruation: purvottanasana, can be performed to ease heaviness around the lower abdomen during menstruation.
tones the entire body: this pose works on the entire body, right from the toes to the neck, giving room for a well toned body with the burning of fat around the thighs, hips, chest and abdomen."
Bharmanasana,"1.this pose stretches the arms, shoulders, elbows, wrists, chest, back (upper, middle, and lower), hips, quadriceps, hamstrings, knees, and neck. While these stretches are subtle and not intense, they help strengthen the areas of the body, as mentioned above. Along with these stretches, the spine muscles are toned.

2.though there is no chest opening in this pose. Due to the stability and balance in the pose, it helps increase the breath capacity. The core is effectively pulled up to maintain the balance, the breath becomes deeper, and the student starts chest and not abdominal breathing. Such deep and calm inhale and exhales effectively affect the respiratory system by expanding the thoracic cavity space.

3.in this pose, the student creates awareness of stabilizing and aligning the body. This action stabilizes the mind too. The gaze is on the palms, and this calm, restorative pose is a pose of self-awareness. It’s a passive core strengthening pose."
Ashtanga namaskara,"1) it strengthens the muscles of the hands and legs.
2) it strengthens the chest."
Pawanmuktasana,"1. It stabilizes the hips. By pressing the thighs onto the abdomen, the pressure falls on the lower back thus strengthening the lower back. As one needs to pull up the knees towards the chest and balance the body, the strength of the arms and shoulders are essential, hence this works to tone the arms and shoulders. This strengthens the cervical spine too. 
2.he toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture. The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes. This primarily enhances lower body flexibility.
3.he toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture. The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes. This primarily enhances lower body flexibility.
4.pawanmuktasana (wind release pose) is therapeutic and can be used by yoga teachers to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions."
Ashta chandrasana,"1.with the deep stretch of the arms above your head in this pose, helps the shoulders and the neck get their equal share of stretch thus reducing any stiffness.
2.with the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.
3. The flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction while in ashta chandrasana.
4.the expansion of the diaphragm that improves the respiratory system helps with asthma patients. The flexing of the hips and the entire leg works from the base of the spine, creating better movement of the nerve including the sciatic nerve. The building of stamina and stability with awareness of the body, brings in fresh energy within the body to help reduce symptoms related to insomnia."
Salabhasana,"1) locust pose stretches and strengthens the back and core muscles, improving your spinal mobility.
2)many everyday activities (such as sitting) flex the spine while locust pose extends it. 
3) it opens the chest, which can be helpful in improving your posture and counteract slouching."
Utkatasana,"1.the position of the hips in this pose, take the weight of the upper body and with practice, the muscles around the hips, gain strength giving it a strong look. The entire upper body, shoulders, chest, spine, neck, middle and upper back get stretched in this pose, while the lower body gets strong. 

2.the lengthening of the spine coupled with the strengthening of the knee and ankle joints supported with a stable hip enhances overall flexibility and improves agility. Chair pose (utkatasana) is a challenging and dynamic pose as it provides momentum to transit to many other poses involving squatting and twisting.

3. Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.

4. The abdominal toning acts as a great massage to the digestive organs, and it is adequate to treat constipation, ibd (irritable bowel disorder), lack of appetite, and acidity. The neck stretch stimulates the thyroid glands, which balances the thyroxin levels (hormone responsible for metabolism and health of the bones and joints)."
Anjenayasana,"1. Crescent low lunge pose (anjaneyasana) stretches both the anterior and posterior parts of the body from the toes to the fingertips. This asymmetrical balancing pose stretches the arms, armpits, shoulders, neck, intercostal muscles, abdomen, psoas muscles, quadriceps, shin muscles, and pelvic muscles. It lengthens the spine by stretching it in a beautiful crescent shape.
2.crescent low lunge pose (anjaneyasana) is a back bending chest opener pose. The moon-shaped backbend opens the frontal chest and enhances blood circulation to the heart and lungs. 
3.in this pose, the practitioner has to focus on the alignment of the legs and the hips. The lower body supports the upper backbend, hence a wrong lower body alignment can cause stress to the knees and hips. The folded leg should be aligned in such a way that the knees and ankles are in one straight line and perpendicular to the thigh. 
4.crescent low lunge pose (anjaneyasana) stimulates the digestive and reproductive systems. The deep abdominal stretch happening with the backbend stimulates the digestive system and helps in treating ailments like constipation, ibs (irregular bowel syndrome), lack of appetite, and acidity. The pelvic stretch and the groin stretch enhance blood circulation in the groin area and benefits the urogenital system. Reproductive ailments in men like erectile dysfunction and infertility can be cured and it benefits prostate health too.
"
Kraunchasana,"1) stretches your back, hips, and hamstrings
2) stimulates your heart and abdominal organs
3) therapeutic for flat feet and persistent gas (flatulence)"
Svastikasana,"1) soothing and calm: when the spine is straight and follows the neutral shape, the energy flow from the base of the spine to the crown of the head moves encouraging the nervous system to be relaxed. A calm nervous system helps calm the mind, building better focus and awareness.
2) concentration and memory: the benefits of pranayama and meditation is enhanced when done in the right seated posture. Seated in swastikasana the level of concentration increases as the energy flow is smooth through the unblocked channels. This brings an increased level of focus, concentration, and memory.
3) hakra activation: when the flow of prana is smooth and easy through unblocked channels, the muladhara (root) chakra along with ajna (third eye) chakra is activated. This benefit though is derived when the practice is done for a longer duration."
Sucirandhrasana,"1.reverse pigeon pose helps to reduce stiffness in the outer hip by effectively stretching the gluteus maximus and hamstring muscles. Hence, for beginners who have tightness in their hip region, this pose can be a great hip opener as it stretches hamstrings and quadriceps at the same time. Since the lower back is grounded, it supports the gentle stretch to the muscles around the lower back.
2. With the intense stretch in the hips, gluteus, hamstrings, and pelvic floor muscles, eye of the needle pose should be practiced by women. Menstrual symptoms which can range from slight discomfort to debilitating experiences depending on the individual will benefit from this supine stretch pose
3. Students who are regular in sports and running or are athletes should include the practice of the eye of the needle pose as part of their cooling down workout.
4."
Supta trivikramasana,"Stretches and strengthens: at an advanced level, the hamstrings, pelvic floor muscles, gluteus maximus, and groin muscles are stretched. These when stretched help to strengthen the hips, the pelvis, and the hip girdle. Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.
flexibility and sthiram: while the practice of supine splits pose (supine tirvikramasana) helps to build flexible hips, knees, and shoulders, it also helps students to achieve sthiram while in the pose. The practice of advanced level poses are mainly done to achieve this stability and calmness.
awareness and balance: the awareness of the stretched muscles, the emotions, the discomfort, the breath, and the body as a whole should be a guide to achieve the full posture in supine splits pose. When this awareness is know and practiced, then, there are changes in the body and mind, leading to an overall balance."
Anantasna,"1) stretches and strengthens: raising one leg with the support of the hand in ananthasana (side reclining leg lift pose), stretches the hips, hamstrings, pelvic floor muscles, groin muscles, gluteus maximus, psoas, biceps and triceps, and core muscles. The stretching of these muscles, when done with awareness, helps to support the hips and shoulders to remain in balance while lying on the sides of the body, thereby strengthening them as they are engaged.
2)lower back and sciatica: the extended leg increases in hip mobility with the stretch felt more from the base of the spine, the sacrum. This stretch helps to keep the sciatic nerve active thereby maintaining symptoms related to sciatica in control. The stretching of the hamstrings and the groin muscles supports the hips to keep them flexible and strong. With strong hips, the issues related to the lower back (sacrum) or the middle back (lumbar) leading to aches, pain, and stiffness are kept in control.
3) focus and concentration: balancing the body while lying down on the sides in side reclining leg lift pose (ananthasana) requires awareness. With the leg extended upwards the body becomes heavy, and students can lose balance. But, with focus and concentration at the core muscles while learning to engage them (pulling the navel in towards the spine), the balance can be maintained. Hence, a great pose to teach the students to remain focused with awareness to help improve concentration while enjoying the posture.
4) balance and coordination
5) the stretching and opening of the hips along with the pelvic floor muscles in ananthasana (side reclining leg lift pose) helps women students who can fight symptoms related to menstruation or menopause."
Jathara parivartanasana,"1) stretches and strengthens: the various muscles of the body stretch with this supine belly twist pose pose like, the shoulders and arms, hamstrings, gluteus maximus (buttocks), calves, chest, abdomen, and lower back muscles. Along with this stretch these muscles are also strengthened, building strong and flexible shoulders, hips, knees, ankles, and neck. The muscles of the spine are strengthened improving in flexibility, and range of motion.
2) awareness and focus: all along the twist in jathara parivartanasana, the awareness is at the center, near the navel. The deep twist happens right at the navel, and with focus and awareness the students can take the stretch and twist deeper, getting the best from the posture. Breathing slow and deep helps to keep the balance and alignment of the body, which again can only be achieved with awareness.
manipura chakra and internal organs: since with the awareness at the navel which is the fire element, and relates to digestion, the manipura
3) chakra is stimulated. The stretch on one side of the abdomen along with the contracting on the opposite side, helps to stimulate the other internal organs like liver, kidney, pancreas, stomach, etc. Hence a great supine pose to stimulate the internal organs.
hips, shoulders and flexibility: the practice of belly twist pose when done after intense standing hip opening sequences brings stability to the hips. The twisting action of the hips towards one side with the support of the back, and the twisting action of the shoulders can help with also reducing the stiffness and tensions accumulated. The flexibility of the muscles of the spine, shoulders, and hips are also improved, reducing the stiffness of these muscles.
4) toning, lengthening and posture: with the twist contracting and stretching the muscles of the back, shoulders, and hips, helps to tone and shape the muscles. The toning also happens with the internal organs with the stretching of the deeper tissues and ligaments protecting the organs. The lengthening of the spine, legs, arms and neck are encouraged giving a good posture to the entire body.
5) energy and endurance: twists are a great way for releasing the tensions accumulated at the psoas muscles, the neck and shoulders. When releasing these tensions, the body feels energized. Though through endurance this can be done to hold the posture longer. This helps to keep the body stimulated, purifying it with releasing of toxins from the body."
Bananasana,"1) stretches, strengthens, lengthens: in bananasana, the complete side muscles of the body are stretched. Along with this stretch, the muscles at the shoulders, arms, hamstrings, gluteus, calves, chest, core (abdomen), and lower back are strengthened. A mild pressure is also on the knees, at the abdomen with the expansion of the oblique muscles, the chest and rib cage, and the it band (the side thigh going down to the knee).
2) flexibility and range of motion: banana pose imposes a slight pressure on the knees, which not only strengthen them, also make them flexible. By stretching the entire body, it makes it flexible to perform the daily chores. The pose gives a range of motion to the runners, and sportsmen by this supine side stretch when practiced on both sides.
3) chest, diaphragm and breath: banana pose opens the heart with arms stretching over head, and the active and efficient use of the intercostal muscles (breathing muscles). Expansion of the diaphragm permits sufficient air to reach to the lungs improving breathing.
4) awareness and focus (concentration): as you come into the banana pose, the awareness is at the side muscles of the back, chest, abdomen, and hips. With the bending of the body in one direction the students can take the stretch and twist deeper, getting the best from the posture. Breathing slow and deep helps to keep the balance and alignment of the body, which again can only be achieved with awareness.
5) alignment and posture: side bends (which is the lateral spine movement) create a deep stretch to the muscles of the back, hips, chest, and abdomen. This stretching action is a great way for releasing the tensions accumulated at the neck and shoulders. Though it is a wonderfully revitalizing pose, the alignment of the posture is critical. As the student stretches towards one side, the hips should move together along with the feet, shoulders, arms, and head. "
Mayurasna,"1) it builds deeper awareness of the body encouraging more stability and calmness.
2) it strengthens the forearms, chest, and core muscles.
3) the spine is parallel to the floor while the body is raised off the floor, keeping it supple. Unlike most advanced yoga poses, in mayurasana the spine is less active.
4) with awareness the communication to the brain is improved, thereby encouraging better functioning of the nervous system with the spine being supple and soft. Helps to improve eye sight and better concentration.
5) the pressing of the belly and abdominal muscles against the elbows gives a gentle massage to the internal organs, while also improving the functioning of the internal organs including the stomach for better digestion.
6) better and improved circulation of blood when you release from the pose, while also stimulating the internal organs and eliminating the toxins.
7) increases the metabolism in the body, and helps to keep stress and depression away."
Rajakapotasana,"Physical (anatomical) benefits
muscles: the toning of the muscles at various levels of the body happens during this pose. The lower back, hip, thighs, psoas, abdomen, chest, shoulders, neck, hamstring, pelvic, and calves. The toning of these muscles adds to the overall toning of the entire outer body.

health benefits
1) organs: as the abdominal muscles and psoas muscles are put to work, the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs. The pelvic muscles are stretched and toned giving room for improved reproductive system. The chest muscles due to the expansion gives room for good functioning of the lungs and proper functioning of the heart. The neck stretch giving room for balancing the thyroid glands. The overall toning of the internal organs takes place as the muscles are put to expand at this pose.
2) symptoms: reduces any form of lower back irritation, leg cramps thus taking care of the sciatic nerve, the neck stiffness is reduced, can heal migraines as the improving of the digestion happens with deeper practice of this pose.the sagging shoulders can be corrected and thus make it look strong and firm. The cramps from menstrual cycle for women is cured. Improves any nervous imbalance as the entire spine is stretched.
3) therapeutic applications: the back pain is cured, they functioning of the uterus, immune system, imbalance in hormones thus regularising the thyroid .any asthma related problems. Urninary disorders are treated. Removes stress, fatigue and anxiety."
Bharadvajasana,"1) human anatomy
boosts the parasympathetic nervous system: in bharadvajasana, while the spine gets a gentle twist from the base, the sacrum, the flow of prana along the spine reduces the stress. This , boosting the parasympathetic nervous system, which is responsible for ‘rest-and-digest’, activities that occur when the body is at rest, especially after eating etc.
2) strengthens the oblique muscles: while in the twist, the oblique muscles which are part of the abdomen wall need to be flexible to turn and twist the torso in bharadvajasana. Thus the strength and the flexibility of these muscles improve with repeated practice of seated spinal twist pose. The functions of these muscles play an important role as they assist in rotating the trunk, making the rib cage flexible, supporting the abdominal wall and helping in flexing the torso.
general benefits
3) deep stretch to the spine with the gentle twist: in bharadvajasana, the entire spine at various parts get a stretch with the twist. At the lumbar region, the thoracic region and the cervical region. Hence while practicing this pose, one needs to connect to these stretches to improve the flow of prana.
4) stretches the shoulders and the hips: along with the spine, the shoulders get a deep stretch. The hips too get a gentle stretch with flexing the lower back. The muscles around the hips and the shoulders stretch to improve the flexibility too.
5)therapeutic for cervical pain: in the seated spinal twist pose, while the shoulders take a deep stretch towards one side, the neck muscles at the upper part of the spine get a gentle massage with the stretch, thus helping in reducing any pain related to cervicalgia. Remember to go slow with the twist and stay longer for better results.
6)therapeutic for carpal tunnel syndrome: with the pressure at the wrists while placing them on the floor and while taking the other wrists from behind, the tissue that are connected between the forearm to the hand get expanded and contracted, thus creating the right energy and with this flexing, pain related to carpal tunnel can be reduced, if not cured."
Parighasana,"1) chest, diaphragm and breath: stiffness in the intercostal muscles can lead to one taking shorter and smaller breaths, as the lungs aren’t able to expand fully. As the intercostal muscles of the extended side are stretched, it helps the lungs expand to their full capacity when breathing. This allows one to draw in deeper breaths, even when not performing the asana.
2) alignment and posture: to get the best form gate pose, alignment plays an important role. Students should be told to avoid the hips from going into a flexion which will take the pelvis behind, putting more pressure to the lower back. To avoid this engage the pelvis and keep it square (push them forward). To first understand this alignment, students can be introduced to this pose with the support of the wall, by resting the balls of the foot on the wall. This helps engage the deeper muscles of the pelvis (and strengthen the glutes). This small adjustment in alignment allows the hips to open even further, and hence can be included in classes for people who spend a lot of time sitting (in office, or when travelling), and even for students in teen yoga
3) stimulations and organs: the lateral bend helps stimulate the internal organs with the stretching and contracting of the deeper muscles. On the left side reside the stomach, small intestine and pancreas, and on the right reside gallbladder, liver and large intestine. As one goes into the lateral stretch, one side of the abdomen is compressed, which reduces the blood circulation in the area. This creates a ‘squeeze and release’ motion on the organs, which increases their efficiency once the blood circulation resumes. The organs on the extended side receive a stretch, which helps stimulate the stagnancy in organs.
4)herapy and healing: parighasana helps increase the immunity of the body in various ways. Firstly, as the chest is able to expand more than before, it helps increase the functioning of the respiratory system. This helps reduce the frequency and intensity of allergies, over a period of time. Secondly, it stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. 
5) chakra and balancing: a wonderful practice which is a gentle heart opener, thus stimulating the anahata chakra (heart chakra), while ensuring balance in the first two chakras (root and sacral). The side bend helps to increase the prana moving from the heart towards the third eye chakra, energizing the body. And at the time of releasing from the pose, there is downward flow of energy - apana vayu (removing the excess out) thus ensuring a balance in the energy - and ultimately balance in the first four chakras."
Bhekasana,"1) improves the functioning of the adrenal glands: in bhekasana or frog pose, the deep stretch and pressure at the upper abdomen, while balancing in the pose activates the adrenal glands, located above the kidney. These glands help govern sudden bursts of energy and heat, like the fight or flight response.
2) improves the functioning of the pancreas: the pancreas are just below the stomach and helps in the secretion of digestive enzymes into the small intestine. This secretes the hormone insulin, and the pressure and stretch at the lower abdomen in bhekasana (frog pose), helps in the proper secretion of this hormone.
3) proper functioning of the reproductive system: the deep stretch at the lower abdomen encourages the internal organs to function well and the reproductive organs too get activated, balancing the level of hormones within the human body.
4) tightens the quadriceps: the deep stretch at the quadriceps, the upper thighs, during the practice of frog pose (bhekasana), helps to not only open these muscles, but also helps to strengthen them and make them tight. These muscles play a great role for stronger looking legs which are beneficial for athletes."
Kurmasana,"1) blood circulation improves with the elongated spine: in kurmasana, while the body goes in a forward fold taking the chest, abdomen and the pelvis towards the floor, the spine is elongated in this posture improving the circulation of blood flow. The flow of prana through the spine to other parts of the body becomes smooth opening the blocks.
2) activates the abdominal organs improving digestion: with the massage around the entire abdominal area with the forward fold in kurmasana, the internal organs too get activated, thus improving digestion, reducing problems related to kidney, and any problems related to liver.
3) improves the flexibility of the spine: with the deep stretch and extension of the spine, the muscles around the upper back, the lower back, the neck and the head, contract, slowly improving the flexibility of the spine. With the elongation of the spine and the flow of prana in a smooth way, flexibility of the entire spine improves giving room for challenging poses.
4) reduces the stiffness around the lower back relieving back aches: in kurmasana, the flexibility of the back is very essential keeping in mind the flow of smooth breathing. With the muscles around the lower back activated, and when done carefully, the nerves related to the back aches get their share of massage and prana, thus reducing the pain related to lower back.
5) reduces symptoms related to sciatic nerve: while the lower back in tortoise pose, extends, the largest nerve the sciatic nerve, which begins at the lower back and runs all through the buttocks and down the lower limbs gets a gentle massage. This massage, gives a comfort to the nerve and helps to reduce pain related to sciatica.
6) cures insomnia: though kurmasana requires a lot of flexibility as this pose is considered difficult, yet if done with support and with guidance, it acts as a great way to relax the entire nerves and calms the mind inducing sleep. Hence can be used therapeutically to heal insomnia.
"
Supta padangusthasana a straps,"1) the fundamental reason to practice this variation using a yoga strap helps beginners, who are new to yoga or those who have tight hips and hamstrings, or who may otherwise find it difficult to follow the base pose, supta padangusthasana. This facilitates the deeper opening of the legs muscles and makes the upper body; the shoulder blades, back, and head, remain firm and grounded.
2) use of a yoga strap helps to improve alignment and posture to get an incredible stretch. This way the stretching becomes more effective and enjoyable.
3) at the intermediate level, the use of a yoga strap helps practitioners to deepen the practice and to hold the pose for a longer duration with ease. When practitioners are comfortable holding a pose with ease, their awareness automatically turns to the breath and the body parts involved; the core, pelvis, and abdominal muscles support the leg and the lower back to stay steady, and thus they learn to focus and connect with their breaths.
4) once the body-breath connection is established, this practice at the advanced level encourages sthiram and sukham, which means the posture which is firm and pleasant. Also, when one releases the posture, one feels rested.
5) included in restorative yoga sequence, in the practice of reclined big toe pose straps, the hips, knees, ankles, and shoulders joints result in the extension and relaxation of the various muscles, tendons, and ligaments at these joints. The deeper the stretch, the better the stability of the joints and this becomes easier with the help of a yoga strap. Although, care should be taken while trying this pose for the first time, to avoid overstretching.
6) included in the therapeutic yoga sequence, students who have injured knee, hamstrings, or calves, lower back pain, and need for the healing process, can consider reclined big toe pose straps. The careful stretching of the leg with the support of a yoga strap can be of great help with the healing process of the injured muscles. This pose relieves one from sciatica and lumbago pain; gives a great relief to the pelvic region by aerating the area.
7)the practice of reclined big toe pose straps is useful for women who have experienced symptoms during menstruation. The gentle massage of the reproductive organs while the muscles are in stretch helps ease the symptoms of menstruation."
Ardha kapotasana,"1.internal organs have better toning improving their functions: the stretch at the entire abdominal muscles encourages a proper functioning of the internal organs, thus improving digestion too.
2.improves the flexibility of the spine: in this simple pigeon pose, the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely. This pose acts as a preparatory pose to the complete kapotasana, which is an advance level pose.
3.reproductive systems improves with improved blood circulation: with the improved flow of prana through the spine with the deep stretch in this simple pigeon pose, it gives room for better blood flow and energy stimulating and improving the functioning of the reproductive organs
4. Activates the entire endocrine system: the endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen. The deep stretch of the muscles around these glands stimulates the entire endocrine system."
Utkata konasana,"1.it builds strength and stability within the lower body and a strong base for the hips and spine.
2.goddess pose (utkata konasana) stimulates the pelvis, encouraging flow of prana for better functioning of the reproductive organs. Thus, this pose helps women in improving fertility and is also beneficial to those during childbirth.
3.with the practice of goddess pose, using the upper body efficiently will help in the maximum use of the diaphragm muscles. Breathing is more pronounced with the shoulders and arms opened up.
4.tudents can learn to focus on the body and the breathing process, thus building awareness. "
Sahaja navasana,"1.easy boat pose increases the spine-flexibility while reclining back by holding the position for longer duration as the space between the vertebrae relaxes. To raise the legs up in the air, like in navasana, it needs not only stability but also flexibility that is gained during the practice of this pose.
2.he easy boat pose helps to stimulate the internal organs like the stomach, pancreas, kidneys, gallbladder, intestine, spleen, liver, and reproductive organs. This boat pose keeps the core healthy and a healthy spine. As a balance yoga pose, easy boat pose teaches to balance the trunk while diving deep into a meditative state. This pose activates the manipura chakra and balances the practitioner’s emotions. It also enhances creativity.
"
Skandasana,"1.the flexing of the toes and the ankles in skandasana (half squat pose) helps to open and stretch these joints. The flexing helps to increase the flow of blood keeping the lower limbs strong.
2.when done in a flow like this variation sahaja ardha malasana (spontaneous flowing half squat), builds on the core muscles. It helps use the abdominal muscles engaging them to help move the body in a flow from one side to another.
3.it helps to open the lower back stretching the gluteus maximus (buttocks) and the sacrum (lower spine). Stretching the base of the spine while engaging the core (pulling the belly in) acts as a great support for the entire spine keeping the lower back away from aches and pains."
Parighasana,"1.parighasana helps increase the immunity of the body in various ways. Firstly, as the chest is able to expand more than before, it helps increase the functioning of the respiratory system. This helps reduce the frequency and intensity of allergies, over a period of time.
2.it stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. This helps promote lymphatic flow in the body, which contains antibodies.
3.a wonderful practice which is a gentle heart opener, thus stimulating the anahata chakra (heart chakra), while ensuring balance in the first two chakras (root and sacral). The side bend helps to increase the prana moving from the heart towards the third eye chakra, energizing the body. And at the time of releasing from the pose, there is downward flow of energy - apana vayu (removing the excess out) thus ensuring a balance in the energy - and ultimately balance in the first four chakras."
Anuvittasana,"1.the contraction of the muscles around the hips and the lower back, while in the backbend helps with both the toning and flexibility of these muscles. Muscles that stretch and contract improve its range of motion over time. Hence you can say, ardha chakrasana improves the flexibility of the hips and lower back (spine).
2.this simple standing backbend can be a great practice to open the heart, and hence sometimes is used for the better functioning of the heart. The practice also regulates the blood pressure.
3.lungs and respiratory: the stretching of the muscles around the chest and the diaphragm, breathing to the maximum with the lungs is encouraged. This stretching improves the functioning of the lungs reducing any respiratory disorders.
4.balance and awareness: the backbend in ardha chakrasana (half wheel pose), requires one to be aware of the body, the breath, and the balance. Hence improves balance with both the body and the mind. It creates awareness which is essential for balance."
Jhulana lurhakanasana,"1.core muscles are stretched and strengthened with the practice of rocking and rolling yoga pose. Yoga sequence for core
2.sleep is encouraged with the practice of rocking and rolling, and hence when done just before going to bed, it is said to relax the nervous system encouraging good sleep. Nighttime yoga sequence
3.releasing of unwanted gas at the various joints are taken care making sure the body feels light and fresh.
4.reduces the extra fat all around the hips and the tummy with the practice of rocking and rolling yoga pose, thus toning the body.
5.warms up the body, and hence should be done as part of the warm up series of yoga poses. The warming up of the muscles before entering into the practice of major yoga poses keeps the muscles and tendons safe and away from injury."
Bitilasana ,"1.mproves the flexibility of the spine
2. Improves the prana in the body while flexing the spine
3. Relieves tensions around the lower back, middle back, neck and shoulders
4. Engages the core muscles to the maximum, making it strong
5. Strengthens the arms, shoulders and the wrists
6. Strengthens the hip joints, the knee joints and the shoulder joints
7. Gently massages the abdominal muscles, thereby improving digestion
8. Great pose to reduce stress, insomnia and encourages good sleep
9. Improves the body posture
10. A great pose to reduce symptoms related to pms
     a good pose to practice for prenatal and postnatal
11. Considered a great foundation pose for most advance backbend poses
12. Ike most poses, the cow pose brings awareness of the body and the breath
anyone suffering from fibromyalgia can practice this pose in a restorative way"
Karnapidasana,"1. Ear pressure pose like in halasana and sarvangasana have the entire back stretched and lengthened, however, the muscles that are active in ear pressure pose are the pelvis (they are in contraction), the core (the squeezing action helps to keep the hips stable), neck muscles as they in addition to stretching the back neck and contracting the front neck, they take the weight of the body along with the shoulders. Thus, with the above mentioned body parts, the joints like the hips, shoulders, and spine are equally active to support the entire body.
2. He extra weight around the hips and thighs can be slowly shredded with regular practice. It is one of the most powerful poses for regulating the function of the thyroid gland because of an intense throat lock and also treating ear problems.
3. Additionally, the long hold impacts the shape of the spine, hips, and shoulers, further improving the posture, impacting the breath-body-mind relationships."
Lolasana,"1. He deeper tissues, tendons, and ligaments at the wrists, abdominal area, spine, and the knees are stretched and stimulated. Building strength with these tissues supports the large muscles, thereby keeping the strength of the arms, shoulders, spine, abdominal muscles, and core muscles.
2. Students who are bodybuilders, weight lifters, tennis players, or those who require the use of elbows, wrists, and arms in their game, or otherwise as part of their profession can benefit from the practice of this pose acting both as a warm-up, as well as a recovery.
3. With the practice of lolasana (pendant pose), the arms, abdomen, gluteus, chest, and thighs get toned since they tighten to hold the body in balance."
Sama vritti,"1. Antioxidants are thrown out efficiently.
2. Helps to reduce stress and anxiety.
3. Room for fresh supply of air as the body expels out everything.
4. Keeps the diaphragm active.
5. Increases immunity.
6. The entire body comes to a state of silence, as there is no prana that is moving.
7. This silence calms the body and the mind physiologically and psychologically.
8. Prana moves from the base of the spine upwards, and when there is no inhalation or exhalation - the root of the spine also gets to be calm. This helps with meditation.
9. Helps to control the state of mind, and this is important for the practice of meditation."
